acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alsa-card-profiles 1:0.3.58-1
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
aom 3.5.0-1
apache 2.4.54-1
apparmor 3.1.1-1
apr 1.7.0-3
apr-util 1.6.1-9
arc-gtk-theme 20220405-1
archlinux-keyring 20220831-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome 4.3-3
base 3-1
bash 5.1.016-1
bashtop 0.9.25-1
bc 1.07.1-4
betterlockscreen 4.0.4-1
binutils 2.39-3
bison 3.8.2-4
bluez 5.65-3
bluez-libs 5.65-3
bluez-utils 5.65-3
bpytop 1.0.68-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
btrfs-progs 5.19.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
c-client 2007f-14
ca-certificates 20220905-1
ca-certificates-mozilla 3.83-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cantarell-fonts 1:0.303.1-1
cmatrix 2.0-2
code 1.71.2-1
coreutils 9.1-1
cozette-otb 1.17.2-1
cryptsetup 2.5.0-1
curl 7.85.0-2
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-2
diffutils 3.8-1
discord 0.0.20-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-2
double-conversion 3.2.1-1
duktape 2.7.0-4
e2fsprogs 1.46.5-4
efibootmgr 18-1
efivar 38-2
electron18 18.3.9-2
electron19 19.0.13-2
ell 0.53-1
enchant 2.3.3-1
exempi 2.6.2-1
exiv2 0.27.5-3
expat 2.4.8-1
fakeroot 1.29-1
feh 3.9.1-2
ffmpeg 2:5.1.1-3
fftw 3.3.10-3
file 5.43-1
filesystem 2021.12.07-1
filezilla 3.61.0-1
findutils 4.9.0-1
firefox 105.0.1-1
flac 1.4.1-1
flex 2.6.4-3
font-manager 0.8.8-1
fontconfig 2:2.14.0-1
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse3 3.12.0-1
gawk 5.2.0-3
gc 8.2.2-1
gcc 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gedit 42.2-1
geoclue 2.6.0-2
geocode-glib 3.26.4-1
gettext 0.21-2
giflib 5.2.1-2
git 2.37.3-1
github-cli 2.16.0-1
glib-networking 1:2.74.0-1
glib2 2.74.0-1
glibc 2.36-4
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-desktop 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-settings-daemon 42.2-1
gnu-free-fonts 20120503-8
